,Title,Average Score,Score Count
0,Valheim,87.99375260840064,166
1,Palworld,70.71082919086297,163
2,7 Days to Die,54.10697216625002,141
3,Satisfactory,74.77459600398358,110
4,Project Zomboid,82.13136103484771,106
5,Phasmophobia,67.05807817202759,105
6,Lethal Company,75.68037227597047,84
7,VRChat,71.80128774997415,44
8,BeamNG.drive,77.17831779679061,44
9,Stranded Deep,62.31472127945786,44
10,Supermarket Simulator,60.64081972611066,42
11,Realm Royale Reforged,69.13286242859982,38
12,Green Hell,84.93378901747568,38
13,WorldBox: God Simulator,64.55591786211168,36
14,Ultrakill,85.29712890792595,35
15,V Rising,84.48749165362021,34
16,My Summer Car,70.096623595826,34
17,Dark and Darker,72.08843031971311,29
18,BattleBit Remastered,70.37900501439468,29
19,Dyson Sphere Program,80.76003534170542,28
20,Sons of the Forest,73.22119719999064,26
21,Project: Gorgon,76.94138297165841,26
22,Universe Sandbox,81.69742305725927,26
23,Enshrouded,78.45473297130495,24
24,NFUT Cards,94.78260869565217,23
25,Super Animal Royale,64.93824809812908,23
26,The Isle,85.33971479400523,22
27,Scum,80.57581155171133,21
28,Halls of Torment,92.86473056290106,20
29,Scrap Mechanic,61.0747967827588,20
30,Godus,67.97408455851384,20
31,Paint the Town Red,69.5224030992534,19
32,Men of War: Assault Squad 2,77.48181570503874,19
33,Farlight 84,24.71957769042393,18
34,Dune: Spice Wars,71.25413235094109,16
35,Friday Night Funkin',77.23533125043632,16
36,Heartbound,87.79783393501805,16
37,Stonehearth,74.34340896936035,16
38,Ruthnar Online,90.36528669470889,15
39,Crab Champions,62.22104126393624,15
40,Vintage Story,85.84657336754606,15
41,Software Inc.,79.30190344351979,15
42,Startup Company,66.0951021929778,15
43,A Twisted Path To Renown,93.30718954248367,14
44,Deep Rock Galactic: Survivor,77.30653437646535,14
45,Stream Racer,84.76923076923077,14
46,Everspace 2,73.33999603357731,14
47,Rustler,65.5853557741938,14
48,Aimlabs,70.29421912212247,14
49,Mashinky,89.48685336772036,14
50,Shark Dating Simulator XL,57.69230769230769,14
51,Stoneshard,76.92554119475231,14
52,Caves of Qud,82.4420545025512,14
53,Surviving the Aftermath,57.49151311423476,13
54,Skater XL,71.959770803452,13
55,Beast Battle Simulator,96.41172265904217,13
56,Colony Survival,80.18728587470066,13
57,Exanima,79.92067603935372,13
58,Core Keeper,60.7937433820678,12
59,Eco,90.83148859315394,12
60,The Vagrant,85.76387143650447,12
61,Earthfall,62.00689680303385,12
62,SpaceEngine,89.92809987401883,12
63,Gloam,92.5925925925926,11
64,BroodStar,89.16666666666666,11
65,We Went Back,59.37043486935174,11
66,AdVenture Communist,59.89794158321573,11
67,Another Brick in the Mall,66.85778470329305,11
68,Pavlov VR,80.6610844584933,11
69,Vainglory,69.93801827775835,11
70,Suck Up!,81.21951219512195,10
71,Death Must Die,79.99721216906516,10
72,Supremacy: The Metaverse Game,87.84260515603799,10
73,Coral Island,75.64660493827161,10
74,Peglin,86.15768958222841,10
75,Havocado,77.0,10
76,Blade & Sorcery,80.05454161613338,10
77,"Good Pizza, Great Pizza",64.25620110828709,10
78,Ravenfield,70.95404021222224,10
79,Passpartout: The Starving Artist,59.94069549359882,10
80,Serious Sam Classics: Revolution,87.61706494111856,10
81,Who's Your Daddy,43.32214964721245,10
82,No Rest for the Wicked,79.96556164465606,9
83,Slime Rancher 2,65.9702479338843,9
84,Seen,54.26400260464785,9
